x1,x2
2.217034,1.459348
2.207962,1.451166
2.204832,1.447157
2.197132,1.440601
2.192630,1.435035
2.186367,1.430036
2.180428,1.422994
2.175688,1.419471
2.168226,1.411042
2.165117,1.408907
2.156024,1.399187
2.154683,1.398342
2.144164,1.387777
2.143821,1.387218
2.133143,1.377212
2.131619,1.374838
2.122204,1.366647
2.119417,1.362517
2.111443,1.356082
2.107215,1.350093
2.101219,1.345517
2.095013,1.336766
2.092745,1.334952
2.086473,1.324388
2.084433,1.313823
2.085039,1.303258
2.087404,1.292693
2.090858,1.282128
2.094795,1.271563
2.095013,1.271032
2.098801,1.260998
2.103169,1.250433
2.107215,1.240620
2.107501,1.239868
2.111827,1.229304
2.116271,1.218739
2.119417,1.210860
2.120479,1.208174
2.124691,1.197609
2.128693,1.187044
2.131619,1.177914
2.132094,1.176479
2.134949,1.165914
2.136763,1.155349
2.137143,1.144784
2.135974,1.134220
2.133406,1.123655
2.131619,1.118970
2.130065,1.113090
2.126139,1.102525
2.121346,1.091960
2.119417,1.088696
2.116405,1.081395
2.110625,1.070830
2.107215,1.066172
2.104143,1.060265
2.096061,1.049701
2.095013,1.048778
2.086832,1.039136
2.082810,1.036240
2.075003,1.028571
2.070608,1.026077
2.060197,1.018006
2.058406,1.017217
2.046204,1.009487
2.043984,1.007441
2.034002,1.002180
2.026768,0.996876
2.021800,0.994737
2.009597,0.987394
2.008356,0.986311
1.997395,0.980478
1.990762,0.975746
1.985193,0.973246
1.972991,0.965944
1.972069,0.965181
1.960789,0.959056
1.954404,0.954617
1.948587,0.951877
1.936384,0.944584
1.935703,0.944052
1.924182,0.937678
1.917978,0.933487
1.911980,0.930530
1.899778,0.923260
1.899318,0.922922
1.887576,0.916330
1.881499,0.912357
1.875374,0.909210
1.863171,0.901986
1.862890,0.901792
1.850969,0.895035
1.844915,0.891227
1.838767,0.887953
1.826565,0.880809
1.826336,0.880662
1.814363,0.873858
1.808099,0.870097
1.802161,0.866843
1.789958,0.859834
1.789448,0.859533
1.777756,0.852941
1.770741,0.848968
1.765554,0.846073
1.753352,0.839298
1.751670,0.838403
1.741150,0.832613
1.732037,0.827838
1.728948,0.826109
1.716745,0.819774
1.711358,0.817273
1.704543,0.813707
1.692341,0.808072
1.688695,0.806708
1.680139,0.802865
1.667937,0.798501
1.658293,0.796143
1.655735,0.795325
1.643532,0.793816
1.631330,0.795556
1.630176,0.796143
1.619128,0.802870
1.616213,0.806708
1.609553,0.817273
1.606926,0.822188
1.604882,0.827838
1.601265,0.838403
1.598021,0.848968
1.594999,0.859533
1.594724,0.860412
1.592324,0.870097
1.589729,0.880662
1.587163,0.891227
1.584606,0.901792
1.582522,0.910247
1.582073,0.912357
1.579637,0.922922
1.577192,0.933487
1.574735,0.944052
1.572266,0.954617
1.570319,0.962839
1.569799,0.965181
1.567365,0.975746
1.564926,0.986311
1.562484,0.996876
1.560041,1.007441
1.558117,1.015789
1.557596,1.018006
1.555140,1.028571
1.552691,1.039136
1.550254,1.049701
1.547829,1.060265
1.545915,1.068771
1.545401,1.070830
1.542919,1.081395
1.540460,1.091960
1.538025,1.102525
1.535619,1.113090
1.533713,1.121749
1.533208,1.123655
1.530699,1.134220
1.528228,1.144784
1.525797,1.155349
1.523408,1.165914
1.521511,1.174720
1.521015,1.176479
1.518479,1.187044
1.515997,1.197609
1.513569,1.208174
1.511196,1.218739
1.509308,1.227676
1.508820,1.229304
1.506255,1.239868
1.503757,1.250433
1.501324,1.260998
1.498951,1.271563
1.497106,1.280390
1.496545,1.282128
1.493858,1.292693
1.491145,1.303258
1.488277,1.313823
1.484961,1.324388
1.484904,1.324581
1.479372,1.334952
1.472702,1.342940
1.467511,1.345517
